site_name,sensor_X,sensor_Y,wavelength,var_name,n_clean,n_no_out,n_w_nm,n_w_nm_clean,Slope,Slope_log,Slope_II_low,Slope_II,Slope_II_high,Slope_II_int_low,Slope_II_int,Slope_II_int_high,Slope_II_p,Slope_II_slope_bias_sig,Slope_II_int_bias_sig,RMSE,MSA,MAPE,MRD_25,MRD_50,MRD_75,MARD_25,MARD_50,MARD_75,Bias_25,Bias_50,Bias_75,Error_25,Error_50,Error_75
MAFR,HYPERNETS,AQUA,412,RHOW,3,3,3,3,0.342,0.6671,0.027,0.4618,7.9107,-0.172618,0.003236,0.013501,NA,FALSE,FALSE,0.010223,0.009471,39.0737,-0.446256,-0.408719,-0.344209,0.344209,0.408719,0.446256,-81.0051,-69.1243,-53.2308,53.2308,69.1243,81.0051
MAFR,AQUA,HYPERNETS,412,RHOW,3,3,3,3,1.6041,0.9222,0.1264,2.1656,37.0985,-0.50086,-0.007007,0.021821,NA,FALSE,FALSE,0.010223,0.009471,67.2252,0.539776,0.691243,0.814224,0.539776,0.691243,0.814224,53.2308,69.1243,81.0051,53.2308,69.1243,81.0051
MAFR,HYPERNETS,AQUA,443,RHOW,3,3,3,3,0.4843,0.7165,0.0381,0.6596,11.4187,-0.361314,0.004697,0.025841,NA,FALSE,FALSE,0.008658,0.006882,18.9838,-0.270657,-0.23319,-0.130695,0.130695,0.23319,0.270657,-37.291,-30.4105,-15.8424,15.8424,30.4105,37.291
MAFR,AQUA,HYPERNETS,443,RHOW,3,3,3,3,1.1131,0.8445,0.0876,1.516,26.2431,-0.678143,-0.007121,0.031642000000000003,NA,FALSE,FALSE,0.008658,0.006882,25.949,0.166561,0.304105,0.374725,0.166561,0.304105,0.374725,15.8424,30.4105,37.291,15.8424,30.4105,37.291
MAFR,HYPERNETS,AQUA,469,RHOW,3,3,3,3,0.5321,0.7052,0.042,0.79990000000000006,15.2191,-0.590998,0.004101,0.035378,NA,FALSE,FALSE,0.007831,0.007274,17.1124,-0.194194,-0.176262,-0.025639,0.150623,0.176262,0.194194,-24.13,-21.3978,-3.8801,16.8634,21.3978,24.13
MAFR,AQUA,HYPERNETS,469,RHOW,3,3,3,3,0.8316,0.6931,0.0657,1.2502,23.7876,-0.841551,-0.005127,0.038833,NA,FALSE,FALSE,0.007831,0.007274,19.8105,0.05144,0.213978,0.241608,0.162538,0.213978,0.241608,3.8801,21.3978,24.13,16.8634,21.3978,24.13
MAFR,HYPERNETS,AQUA,488,RHOW,3,3,3,3,0.4456,0.5635,0.0369,0.7634,15.7871,-0.710457,0.007606,0.042327,NA,FALSE,FALSE,0.008765,0.008376,17.1771,-0.174697,-0.153602,0.006158,0.159759,0.165917,0.180855,-21.2073,-18.1477,-0.6651,17.3671,18.1477,21.2073
MAFR,AQUA,HYPERNETS,488,RHOW,3,3,3,3,0.7647,0.6431,0.0633,1.31,27.0917,-1.14671,-0.009964,0.045002,NA,FALSE,FALSE,0.008765,0.008376,18.9081,0.019585,0.181477,0.212469,0.161891,0.181477,0.212469,0.6651,18.1477,21.2073,17.3671,18.1477,21.2073
MAFR,HYPERNETS,AQUA,531,RHOW,3,3,3,3,0.4829,0.5561,0.0407,0.8545,17.954,-1.071097,0.010268,0.061733,NA,FALSE,FALSE,0.011564,0.010314,16.9329,-0.099378,-0.082032,0.1136,0.099378,0.116724,0.212978,-11.0549,-8.9362,9.6282,11.0549,13.2149,21.7475
MAFR,AQUA,HYPERNETS,531,RHOW,3,3,3,3,0.6615,0.6054,0.0557,1.1703,24.5903,-1.518023,-0.012017,0.059658,NA,FALSE,FALSE,0.011564,0.010314,15.2568,-0.073416,0.089362,0.110756,0.110756,0.132149,0.184171,-9.6282,8.9362,11.0549,11.0549,13.2149,21.7475
MAFR,HYPERNETS,AQUA,547,RHOW,3,3,3,3,0.5142,0.6313,0.0419,0.8489,17.2068,-1.165301,0.009407,0.067362,NA,FALSE,FALSE,0.013708,0.013004,18.41,-0.138223,-0.122509,0.076673,0.138223,0.153936,0.214895,-16.0585,-13.9613,5.8088,16.0585,18.1944,22.8002
MAFR,AQUA,HYPERNETS,547,RHOW,3,3,3,3,0.7135,0.6317,0.0581,1.178,23.877,-1.608403,-0.011081,0.067723,NA,FALSE,FALSE,0.013708,0.013004,17.9256,-0.038299,0.139613,0.160778,0.160778,0.181944,0.199078,-5.8088,13.9613,16.0585,16.0585,18.1944,22.8002
MAFR,HYPERNETS,AQUA,645,RHOW,3,3,3,3,0.7321,1.0047,0.0676,0.8366,10.3538,-0.580753,0.003729,0.050955,NA,FALSE,FALSE,0.015502,0.013097,20.0747,-0.219218,-0.186342,-0.011268,0.175073,0.186342,0.219218,-28.1903,-22.9017,-2.7635,19.5967,22.9017,28.1903
MAFR,AQUA,HYPERNETS,645,RHOW,3,3,3,3,1.0461,0.8911,0.0966,1.1954,14.7942,-0.753833,-0.004458,0.056091,NA,FALSE,FALSE,0.015502,0.013097,23.5611,0.044134,0.229017,0.283041,0.184883,0.229017,0.283041,2.7635,22.9017,28.1903,19.5967,22.9017,28.1903
MAFR,HYPERNETS,AQUA,667,RHOW,3,3,3,3,0.7355,0.9685,0.07,0.8298,9.8343,-0.503415,0.004906,0.047796,NA,FALSE,FALSE,0.014525,0.011921,18.4248,-0.183382,-0.120219,0.032881,0.15310000000000001,0.185981,0.216263,-22.8242,-13.6647,2.1471,16.1052,18.5981,25.4614
MAFR,AQUA,HYPERNETS,667,RHOW,3,3,3,3,1.0682,0.9484,0.1017,1.2051,14.2831,-0.682676,-0.005913,0.05119,NA,FALSE,FALSE,0.014525,0.011921,20.6894,-0.010085,0.136647,0.231933,0.146732,0.156816,0.242018,-2.1471,13.6647,22.8242,16.1052,18.5981,25.4614
MAFR,HYPERNETS,S3A,400,RHOW,209,122,122,79,-0.3125,-0.3092,-5.4033,-4.3171,-3.4492,0.112182,0.134368,0.162137,NA,TRUE,TRUE,0.025625,0.017006,67.0474,-0.559768,-0.370603,0.1599,0.291023,0.538311,0.745915,-127.1544,-58.8821,15.9832,35.9911,82.8742,187.0188
MAFR,S3A,HYPERNETS,400,RHOW,209,122,122,79,-0.0168,-0.0369,-0.2899,-0.2316,-0.1851,0.030007,0.031125,0.032524,NA,TRUE,TRUE,0.025625,0.017006,117.0062,-0.137755,0.588821,1.271557,0.307334,0.717106,1.271557,-15.9832,58.8821,127.1544,35.9911,82.8742,187.0188
MAFR,HYPERNETS,S3A,412,RHOW,209,122,122,95,0.0769,0.6699,2.8661,3.5162,4.3138,-0.101178,-0.078005,-0.059116,NA,TRUE,TRUE,0.024763,0.017432,61.0995,-0.651888,-0.370039,0.049485,0.293896,0.48623,0.771502,-187.2651,-58.74,4.9235,37.876,81.0207,208.2105
MAFR,S3A,HYPERNETS,412,RHOW,209,122,122,95,0.0062,0.0543,0.2318,0.2844,0.3489,0.020626,0.022184,0.023454,NA,TRUE,TRUE,0.024763,0.017432,172.8851,-0.046698,0.5874,1.87266,0.285317,0.680477,1.87266,-4.9235,58.74,187.2651,37.876,81.0207,208.2105
